Rank,India/State/Union Territory,Literacy Rate (%) - 2011 Census
1,Kerala,93.91
2,Lakshadweep,92.28
3,Mizoram,91.58
4,Tripura,87.75
5,Goa,87.4
6,Daman & Diu,87.07
7,Puducherry,86.55
8,Chandigarh,86.43
9,Delhi,86.34
10,Andaman & Nicobar,86.27
11,Himachal Pradesh,83.78
12,Maharashtra,82.91
13,Sikkim,82.2
14,Tamil Nadu,80.33
15,Nagaland,80.11
16,Manipur,79.85
17,Uttarakhand,79.63
18,Gujarat,79.31
19,Dadra & Nagar Haveli,77.65
20,West Bengal,77.08
21,Punjab,76.68
22,Haryana,76.64
23,Karnataka,75.6
24,Meghalaya,75.48
25,Odisha,73.45
26,Assam,73.18
27,Chhattisgarh,71.04
28,Madhya Pradesh,70.63
29,Uttar Pradesh,69.72
30,Jammu & Kashmir,68.74
31,Jharkhand,67.63
32,Andhra Pradesh,67.4
33,Rajasthan,67.06
34,Arunachal Pradesh,66.95
36,Bihar,63.82
